Year,Coop_Issued_Cr,SCB_Issued_Cr,RRB_Issued_Cr,Total_Issued_Cr,Coop_Outstanding_Cr,SCB_Outstanding_Cr,RRB_Outstanding_Cr,Total_Outstanding_Cr
2024-25,240045,2322118.0,307093,2869256.0,272985,2958191.62,345308,3576484.62
2023-24,242008,2023749.0,282878,2548635.0,265418,2759867.611,319881,3345166.821
2022-23,236349,1676529.0,242286,2155163.0,252550,2348920.231,286648,2888118.54
2021-22,243220,1415964.0,204180,1863363.0,230604,2024117.133,257174,2511894.793
2020-21,190682,1194704.0,190012,1575398.0,200615,1842027.81,234786,2277427.933
2019-20,157367,1070036.0,165326,1392729.0,187262,1012858.0,208841,1408960.5
2018-19,152340,954823,149667,1256830.0,178820,995114,197432,1371365.0
2017-18,150321,871080,141216,1162617.0,184396,924084,171301,1279781.0
2016-17,142758,799781,123216,1065755.0,226698,668109,153416,1048223.0
2015-16,153295,642954,119261,915510,156121,814841,133401,1104363.0
2014-15,138470,604376,102483,845329,154287,683969,112604,950860
2013-14,119964,527506,82653,730123,135245,503532,98207,736984
2012-13,111203,484499,63681,659383,119775,522478,79500,721753
2011-12,87963,312877,54450,455290,92458,443298,70385,606141
2010-11,78121,222792,43965,344878,76674,357584,55067,489325
2009-10,63497,188253,34640,286390,59791,315436,46282,421509
2008-09,58787,160690,26499,245976,64045,256119,37367,357531
2007-08,57643,113472,23838,194953,65666,202796,33216,301678
2006-07,54019,115266,20228,189513,89443,169018,27452,285913
2005-06,48123,80598.9,15299.5,144021.4,82327,135602.6,21509.7,239439.3
2004-05,45009,48367.4,11926.8,105303.2,78822,95518.8,16709.4,191050.2
2003-04,40049,36203.2,7175,83427.2,71403,68103.3,11721.4,151227.7
2002-03,34040,25255.7,5879.1,65174.8,59064,53803.8,10260.7,123128.5
2001-02,30569,18637.6,4546,53752.6,52110,45105.5,8286,105501.5
2000-01,27295,16439.6,3966,47700.6,46135,38270.4,7249,91654.4
1999-00,25678,16350.2,2985.1,45013.3,41950,33442,5991,81383
1998-99,15099,14663.3,2515.1,32277.4,22199,29819.2,5389.3,57407.5
1997-98,14159,11536.8,2102.5,27798.3,21390,28445.1,4683,54518.1
1996-97,13254,10674.9,1748.2,25677.1,20556,26326.9,4037.7,50920.6
1995-96,12483,9274,1381.1,23138.1,19126,23427.1,3466.6,46019.7
1994-95,9875.5,7407.9,1083,18366.4,16809.5,20920,3008.9,40738.4
1993-94,8484,5399.9,752.1,14636,15315.6,19112.9,2559.8,36988.3
1992-93,6483.7,4959.9,697.7,12141.3,13769,18287.8,2206,34262.8
1991-92,5796.8,4805.9,596.3,11199,12176.4,16981.1,1984.3,31141.8
1990-91,4819.1,4675.5,334.5,9829.1,10531,17031.6,1752.9,29315.5
1989-90,5406.8,4282.4,647.2,10336.4,10565.7,15283,1837.9,27686.6
1988-89,4873.1,3813.2,419.9,9106.2,9407.7,12840.2,1551.8,23799.7
1987-88,4710.4,3526.2,483.2,8719.8,8346.6,11424,1313.4,21084
1986-87,3701,3332.4,476.9,7510.3,7465.1,9354.8,1061.2,17881.1
1985-86,3674,2728.9,402,7158.5,6947,8416,871.1,16234.1
1984-85,3154.3,2461,310.1,6166.8,6366.9,6612.9,696.4,13676.2
1983-84,2938,1858.2,262.8,5244.2,5734.5,5279.9,509.4,11523.8
1982-83,2716.9,1224.7,222.3,4351.7,5155,4143,381.9,9679.9
1981-82,2479,1495.6,167.6,4295.5,4821,3541.1,273.1,8635.2
1980-81,2028.5,1262.8,,3435.5,4315,3043.3,180.4,7538.7
1979-80,1821.1,974.5,,2928.1,3850.1,2363.8,168.4,6382.3
1978-79,1621,800.1,100.8,2641,3383.1,1824.6,,5207.7
1977-78,1444.4,569.4,43.7,2155.3,3074.1,1339.7,,4413.8
1976-77,1430.5,507.8,16.2,2036.8,2795.7,1031,,3826.7
1975-76,1186.7,404.9,1.5,1674.6,2357.1,790.3,,3147.4
1974-75,1039.2,274.3,,1391,2165.2,563.6,,2723.8
1973-74,876.7,219.2,,1186.7,1969.5,435.5,,2405
1972-73,957.9,20.9,,1155.6,1837,341.6,,2178.8
1971-72,769,14.5,,882.8,1597.7,267.7,,1865.4
1970-71,743.8,,,818,,,,
