Date,Demand_Deposits_Cr,Time_Deposits_Cr,Aggregate_Deposits_Cr,Bank_Credit_Cr,CASA_Ratio
2026-04-30,3303488.855,22565095.65,25868584.51,21210697.85,0.12770272968445462
2026-03-31,3689273.63,22539513.15,26228786.78,21359897.02,0.14065742578734705
2026-02-28,3221326.957,21968817.7,25190144.65,20751207.44,0.12788044696678627
2026-01-31,3141414.8702492,21740539.5200167,24881954.3902663,20475236.4963444,0.1262527380677985
2025-12-31,3274728.936,21582770.27,24857499.2,20323553.9,0.13174008011232283
2025-11-28,3012860.921,21246637.88,24259498.8,19529443.34,0.12419304066578656
2025-10-31,3100947.178,21074809.57,24175756.75,19393655.36,0.12826680918685202
2025-09-26,3032021.206,20749152.86,23781174.07,19072256.29,0.12749669957737286
2025-08-29,3001393.29,20706279.96,23707673.25,18732093.13,0.1266000783100889
2025-07-25,2876367.982,20473459.01,23349826.99,18501377.2,0.12318583701848662
2025-06-27,3072874.359,20352770.98,23425645.34,18486199.66,0.13117565447612126
2025-05-30,2988920.703,20183621.92,23172542.62,18287376.91,0.12898544419636934
2025-04-25,2630257.884,20210319.16,22840577.04,18214777.44,0.11515724315518432
2025-03-21,2698048.828,19882552.3,22580601.13,18243972.33,0.11948525251683591
2025-02-28,2705278.616,19925319.7,22630598.31,18202173.56,0.11954074651241513
2025-01-31,2672171.976,19817335.32,22489507.29,18053607.27,0.11881860912036014
2024-12-27,2569573,19493019,22062591,17743037,0.11646741763014144
2024-11-29,2576788.637,19440676.98,22017465.62,17508955.68,0.11703384401605801
2024-10-25,2527553.865,19283732.6,21811286.46,17315980.97,0.11588284210724176
2024-09-27,2582832.32,19163775.88,21746608.2,17215334.53,0.11876943274307944
2024-08-30,2666996,19021116,21688112,17010621,0.12297040885808778
2024-07-26,2444220.365,18749348,21193568.37,16813934.78,0.11532840163244298
2024-06-28,2601677.367,18683720.03,21285397.39,16886028.59,0.12222827318329903
2024-05-31,2506492.906,18580713.47,21087206.37,16782881.64,0.11886320368950797
2024-04-26,2480773.255,18323534.87,20804308.12,16545337.28,0.11924324715298437
2024-03-22,2443853.101,18031373.29,20475226.39,16432163.93,0.11935658509707935
2024-02-23,2368307,17836522,20204830,16214135,0.11721489366651439
2024-01-26,2355014.825,17704137.2,20059152.02,16043591.8,0.11740350851581015
