Date,CASA_Pct,Type
2024-01-26,11.7404,Actual
2024-02-23,11.7215,Actual
2024-03-22,11.9357,Actual
2024-04-26,11.9243,Actual
2024-05-31,11.8863,Actual
2024-06-28,12.2228,Actual
2024-07-26,11.5328,Actual
2024-08-30,12.297,Actual
2024-09-27,11.8769,Actual
2024-10-25,11.5883,Actual
2024-11-29,11.7034,Actual
2024-12-27,11.6467,Actual
2025-01-31,11.8819,Actual
2025-02-28,11.9541,Actual
2025-03-21,11.9485,Actual
2025-04-25,11.5157,Actual
2025-05-30,12.8985,Actual
2025-06-27,13.1176,Actual
2025-07-25,12.3186,Actual
2025-08-29,12.66,Actual
2025-09-26,12.7497,Actual
2025-10-31,12.8267,Actual
2025-11-28,12.4193,Actual
2025-12-31,13.174,Actual
2026-01-31,12.6253,Actual
2026-02-28,12.788,Actual
2026-03-31,14.0657,Actual
2026-04-30,12.7703,Actual
2026-05-31,13.088,Forecast
2026-06-30,13.1439,Forecast
2026-07-31,13.1998,Forecast
2026-08-31,13.2556,Forecast
2026-09-30,13.3115,Forecast
2026-10-31,13.3673,Forecast
2026-11-30,13.4232,Forecast
2026-12-31,13.479,Forecast
2027-01-31,13.5349,Forecast
2027-02-28,13.5907,Forecast
2027-03-31,13.6466,Forecast
2027-04-30,13.7024,Forecast
