Sector,Year,Current_Cr,Saving_Cr,Term_Cr,Total_Cr
1.1 Central Government,2019,19159.6924,47743.1152,183625.8818,250528.6894
1.1 Central Government,2020,20866.9896,38387.3425,190261.2703,249515.6024
1.1 Central Government,2021,30417.5968,46635.7706,193392.7145,270446.0819
1.1 Central Government,2022,29153.8472,61948.7702,231120.7145,322223.3319
1.1 Central Government,2023,30278.7462,69205.482,226867.0983,326351.3265
1.1 Central Government,2024,46940.0682,71162.1642,258611.5084,376713.7408
1.1 Central Government,2025,55484.2095,67281.1143,319131.6164,441896.9402
1.1 Central Government,2026,25655.6184,64090.0266,289931.4834,379677.1284
1.2 State Government,2019,85611.39,253361.5011,344803.8797,683776.7708
1.2 State Government,2020,81052.0043,248464.7982,335463.3443,664980.1468
1.2 State Government,2021,107088.6439,307334.0391,381476.1802,795898.8632
1.2 State Government,2022,115583.6258,408563.5046,423218.798,947365.9284
1.2 State Government,2023,115025.8659,478630.2855,440055.4221,1033711.5735
1.2 State Government,2024,124891.5532,521159.9639,508310.3514,1154361.8685
1.2 State Government,2025,164556.0758,525114.647,584485.9605,1274156.6833
1.2 State Government,2026,159183.4451,469122.0728,552783.3935,1181088.9114
1.3 Local Government,2019,28865.698,66439.3367,157219.7151,252524.7498
1.3 Local Government,2020,30955.7314,84631.8364,149556.7613,265144.3291
1.3 Local Government,2021,56740.0982,83605.5327,136427.4359,276773.0668
1.3 Local Government,2022,31626.8041,97346.9588,151017.254,279991.0169
1.3 Local Government,2023,30187.6095,106435.7655,213576.1187,350199.4937
1.3 Local Government,2024,32050.1302,155314.6232,290946.1466,478310.9
1.3 Local Government,2025,31459.5453,155922.1379,277115.7457,464497.4289
1.3 Local Government,2026,44628.0612,187544.3012,407031.1279,639203.4903
2 Non-Financial Corporations,2019,478579.7857,140062.6536,1218244.4999,1836886.9392
2 Non-Financial Corporations,2020,545193.1961,172564.8719,1426034.0782,2143792.1462
2 Non-Financial Corporations,2021,676149.0419,182975.9913,1687763.6155,2546888.6487
2 Non-Financial Corporations,2022,761296.6671,230241.1189,1951378.2786,2942916.0646
2 Non-Financial Corporations,2023,826320.2909,237987.2145,2196844.9924,3261152.4978
2 Non-Financial Corporations,2024,886826.1409,171920.7507,2728747.1495,3787494.0411
2 Non-Financial Corporations,2025,986077.1896,133887.7839,3113143.7596,4233108.7331
2 Non-Financial Corporations,2026,1087650.1181,186050.6198,3652753.9493,4926454.6872
2.1 Government,2019,58405.2048,114695.9355,321600.1041,494701.2444
2.1 Government,2020,64101.5153,145905.2667,354930.0136,564936.7956
2.1 Government,2021,68917.3419,142864.7959,338449.7536,550231.8914
2.1 Government,2022,79950.7746,175350.5806,390183.468,645484.8232
2.1 Government,2023,71862.3302,168074.051,403749.8006,643686.1818
2.1 Government,2024,74028.3427,131753.2996,483983.8193,689765.4616
2.1 Government,2025,119950.3196,107683.4964,510892.1342,738525.9502
2.1 Government,2026,102569.2229,144349.673,727087.379,974006.2749
2.2 Non -Government,2019,420174.5809,25366.7181,896644.3958,1342185.6948
2.2 Non -Government,2020,481091.6808,26659.6052,1071104.0646,1578855.3506
2.2 Non -Government,2021,607231.7,40111.1954,1349313.8619,1996656.7573
2.2 Non -Government,2022,681345.8925,54890.5383,1561194.8106,2297431.2414
2.2 Non -Government,2023,754457.9607,69913.1635,1793095.1918,2617466.316
2.2 Non -Government,2024,812797.7982,40167.4511,2244763.3302,3097728.5795
2.2 Non -Government,2025,866126.87,26204.2875,2602251.6254,3494582.7829
2.2 Non -Government,2026,985080.8952,41700.9468,2925666.5703,3952448.4123
3 Financial Corporations,2019,127500.2194,15155.9266,659051.7722,801707.9182
3 Financial Corporations,2020,158136.3358,15597.4831,599536.637,773270.4559
3 Financial Corporations,2021,172231.3309,18516.738,515356.9238,706104.9927
3 Financial Corporations,2022,190266.2358,23238.8489,685361.3252,898866.4099
3 Financial Corporations,2023,204014.1397,30735.5132,876815.0547,1111564.7076
3 Financial Corporations,2024,219777.6424,35063.8692,1044178.2791,1299019.7907
3 Financial Corporations,2025,270959.5248,44669.5985,1305748.1324,1621377.2557
3 Financial Corporations,2026,328517.989,47728.4543,1695000.9333,2071247.3766
3.1 Deposit taking corporations,2019,67173.9464,5036.5097,276889.8971,349100.3532
3.1 Deposit taking corporations,2020,78562.0922,6473.8443,299676.0744,384712.0109
3.1 Deposit taking corporations,2021,81367.693,8473.9346,287459.2551,377300.8827
3.1 Deposit taking corporations,2022,93562.3747,11419.2825,301767.9135,406749.5707
3.1 Deposit taking corporations,2023,90457.9714,13496.8594,365423.7422,469378.573
3.1 Deposit taking corporations,2024,93884.8004,15402.3191,433589.9275,542877.047
3.1 Deposit taking corporations,2025,111516.9211,18632.7073,567659.2716,697808.9
3.1 Deposit taking corporations,2026,121976.5513,20123.645,687230.9031,829331.0994
3.1.1 Banks,2019,44789.1633,143.3867,212809.976,257742.526
3.1.1 Banks,2020,54568.1236,130.0923,225438.7039,280136.9198
3.1.1 Banks,2021,50773.8416,97.2925,204745.0218,255616.1559
3.1.1 Banks,2022,56229.8863,187.223,208173.4221,264590.5314
3.1.1 Banks,2023,51859.4054,46.173,241425.0509,293330.6293
3.1.1 Banks,2024,54487.5671,105.5021,306585.9458,361179.015
3.1.1 Banks,2025,62159.2759,690.6418,391572.8749,454422.7926
