Industry,Outstanding_Apr_2025,Outstanding_Mar_2026,Outstanding_Apr_2026,FY_Growth_Pct,YoY_Growth_Pct,Category
2.   Industries (2.1 to 2.19),3943927,4584304,4537732,-1.0,15.1,Major Industry
2.1      Mining & Quarrying (incl. Coal),54032,60931,59256,-2.7,9.7,Sub-industry
2.2      Food Processing,224434,250187,254265,1.6,13.3,Sub-industry
2.2.1     Sugar,28381,29742,28258,-5.0,-0.4,Sub-sub-industry
2.2.2     Edible Oils & Vanaspati,21239,26226,28249,7.7,33.0,Sub-sub-industry
2.2.3     Tea,4981,5127,4828,-5.8,-3.1,Sub-sub-industry
2.2.4     Others,169833,189092,192931,2.0,13.6,Sub-sub-industry
2.3      Beverage & Tobacco,34582,40158,38514,-4.1,11.4,Sub-industry
2.4      Textiles,275379,301868,298223,-1.2,8.3,Sub-industry
2.4.1     Cotton Textiles,103961,110268,108946,-1.2,4.8,Sub-sub-industry
2.4.2     Jute Textiles,4333,4994,5196,4.0,19.9,Sub-sub-industry
2.4.3     Man-Made Textiles,49563,52032,50898,-2.2,2.7,Sub-sub-industry
2.4.4     Other Textiles,117520,134574,133183,-1.0,13.3,Sub-sub-industry
2.5      Leather & Leather Products,13157,14147,14003,-1.0,6.4,Sub-industry
2.6      Wood & Wood Products,27842,31055,31182,0.4,12.0,Sub-industry
2.7      Paper & Paper Products,52465,58964,59468,0.9,13.3,Sub-industry
"2.8      Petroleum, Coal Products & Nuclear Fuels",135500,204180,186680,-8.6,37.8,Sub-industry
2.9      Chemicals & Chemical Products,267190,307906,310277,0.8,16.1,Sub-industry
2.9.1     Fertiliser,31850,30586,31761,3.8,-0.3,Sub-sub-industry
2.9.2     Drugs & Pharmaceuticals,86141,104391,103889,-0.5,20.6,Sub-sub-industry
2.9.3     Petro Chemicals,31761,36808,37908,3.0,19.4,Sub-sub-industry
2.9.4     Others,117440,136121,136719,0.4,16.4,Sub-sub-industry
"2.10   Rubber, Plastic & their Products",103556,112779,111129,-1.5,7.3,Sub-industry
2.11   Glass & Glassware,13668,16287,16013,-1.7,17.2,Sub-industry
2.12   Cement & Cement Products,58452,65113,64739,-0.6,10.8,Sub-industry
2.13   Basic Metal & Metal Product,436006,518062,513051,-1.0,17.7,Sub-industry
2.13.1   Iron & Steel,299924,356663,349873,-1.9,16.7,Sub-sub-industry
2.13.2   Other Metal & Metal Product,136083,161399,163179,1.1,19.9,Sub-sub-industry
2.14   All Engineering,240022,317374,314000,-1.1,30.8,Sub-industry
2.14.1   Electronics,52984,59905,62417,4.2,17.8,Sub-sub-industry
2.14.2   Others,187038,257468,251583,-2.3,34.5,Sub-sub-industry
"2.15   Vehicles, Vehicle Parts & Transport Equipment",119923,141076,142885,1.3,19.1,Sub-industry
2.16   Gems & Jewellery,90971,121355,114644,-5.5,26.0,Sub-industry
2.17   Construction,158963,179323,179640,0.2,13.0,Sub-industry
2.18   Infrastructure,1352393,1490126,1489022,-0.1,10.1,Sub-industry
2.18.1   Power,696730,842655,846307,0.4,21.5,Sub-sub-industry
2.18.2   Telecommunications,112133,108701,98776,-9.1,-11.9,Sub-sub-industry
2.18.3   Roads,337252,338135,338768,0.2,0.4,Sub-sub-industry
2.18.4   Airports,9293,6684,6874,2.8,-26.0,Sub-sub-industry
2.18.5   Ports,5467,8794,9514,8.2,74.0,Sub-sub-industry
2.18.6   Railways,11937,6730,6678,-0.8,-44.1,Sub-sub-industry
2.18.7   Other Infrastructure,179582,178427,182105,2.1,1.4,Sub-sub-industry
2.19   Other Industries,285391,353413,340740,-3.6,19.4,Sub-industry
