Bank_Group,Year,Gross_Advances,Net_Advances,Gross_NPA_Amount,Gross_NPA_Pct,Net_NPA_Amount,Net_NPA_Pct
Scheduled Commercial Banks (All),2023-24,17508589.83,17142339.56,480818.2938,2.746185,106732.3205,0.622624
Scheduled Commercial Banks (All),2022-23,14756637.36,14319352.43,571545.5407,3.873142,135319.7062,0.945013
Scheduled Commercial Banks (All),2021-22,12750005.88,12198767.37,743639.6871,5.832465,204230.9038,1.674193
Scheduled Commercial Banks (All),2020-21,11399608.0,10806381.0,835138,7.3,258050,2.4
Scheduled Commercial Banks (All),2019-20,10918918.0,10301897.0,899803,8.2,289370,2.8
Scheduled Commercial Banks (All),2018-19,10294463.0,9676183.0,936474,9.1,355068,3.7
Scheduled Commercial Banks (All),2017-18,9266210.0,8745997.0,1039679.0,11.2,520838,6
Scheduled Commercial Banks (All),2016-17,8492565.0,8116109.0,791791,9.3,433121,5.3
Scheduled Commercial Banks (All),2015-16,8173121.0,7896467.0,611947,7.5,349814,4.4
Scheduled Commercial Banks (All),2014-15,7559760.0,7388160.0,323335,4.3,175841,2.4
Scheduled Commercial Banks (All),2013-14,6875748.0,6735213.0,263362,3.8,142421,2.1
Scheduled Commercial Banks (All),2012-13,5988277.0,5879773.0,194053,3.2,98693,1.7
Scheduled Commercial Banks (All),2011-12,5158878.0,5073559.0,142903,2.8,65205,1.3
Scheduled Commercial Banks (All),2010-11,4357548.0,4298704.0,97973,2.2,41799,1
Scheduled Commercial Banks (All),2009-10,3544999.8905,3497054.0,84698,2.4,38723,1.11895
Scheduled Commercial Banks (All),2008-09,3037585.6334,2999924.0,68328,2.2,31564,1.05216
Scheduled Commercial Banks (All),2007-08,2503431.0,2476936.0,56309,2.2,24730,0.99841
Scheduled Commercial Banks (All),2006-07,2007413.0,1981237.0,50487,2.5,20281,1.0236
Scheduled Commercial Banks (All),2005-06,1545730.0,1516811.0,51097,3.3,18543,1.2225
Scheduled Commercial Banks (All),2004-05,1167684.0,1150836.0,59373,5.1,21754,1.89028
Scheduled Commercial Banks (All),2003-04,902026,862643,64812,7.2,24396,2.8
Scheduled Commercial Banks (All),2002-03,778043,740473,68717,8.8,29692,4
Scheduled Commercial Banks (All),2001-02,680958,645859,70861,10.4,35554,5.5
Scheduled Commercial Banks (All),2000-01,558766,526328,63741,11.4,32461,6.2
Scheduled Commercial Banks (All),1999-00,475113,444292,60408,12.7,30073,6.8
Scheduled Commercial Banks (All),1998-99,399436,367012,58722,14.7,28020,7.6
Scheduled Commercial Banks (All),1997-98,352696,325522,50815,14.4,23761,7.3
Scheduled Commercial Banks (All),1996-97,301698,276421,47300,15.7,22340,8.1
Public Sector Banks,2023-24,9773487.66,9506329.037,339541.2994,3.474106,72543.85015,0.763111
Public Sector Banks,2022-23,8610114.7,8283763.086,428196.9994,4.973186,102531.544,1.237741
Public Sector Banks,2021-22,7433006.34,7043940.217,542173.823,7.294139,154745.38,2.196858
Public Sector Banks,2020-21,6770363.0,6347417.0,616616,9.1,196451,3.1
Public Sector Banks,2019-20,6615112.0,6158112.0,678317,10.3,230918,3.7
Public Sector Banks,2018-19,6382461.0,5892667.0,739541,11.6,285122,4.8
Public Sector Banks,2017-18,6141698.0,5697350.0,895601,14.6,454473,8
Public Sector Banks,2016-17,5874849.0,5557232.0,684732,11.7,383089,6.9
Public Sector Banks,2015-16,5823907.0,5593577.0,539956,9.3,320376,5.7
Public Sector Banks,2014-15,5615793.0,5476250.0,278468,5,159951,2.9
