Item,Apr_2025,Mar_2026,Apr_2026
Number of Reporting Banks,135,121,120
1. Liabilities to the Banking System,480018,549297,527711
1.1  Demand and Time Deposits from Banks,349245,415458,399022
1.2  Borrowings from Banks,107500,85073,78713
1.3  Other Demand and Time Liabilities,23272,48766,49976
2. Liabilities to Others,24727913,28160226,27957474
2.1  Aggregate Deposits,22840577,26228787,25868585
2.1.1  Demand,2630258,3689274,3303489
2.1.2  Time,20210319,22539513,22565096
2.2  Borrowings,884265,807917,957229
2.3  Other Demand and Time Liabilities,1003071,1123522,1131660
3. Borrowings from Reserve Bank,23088,256062,32629
3.1  Against Usance Bills /Promissory Notes,-,-,-
3.2  Others,23088,256062,32629
4. Cash in Hand and Balances with Reserve Bank,1030327,841270,881346
4.1  Cash in Hand,82976,87403,80738
4.2  Balances with Reserve Bank,947351,753867,800608
5. Assets with the Banking System,372327,475535,456552
5.1  Balances with Other Banks,237512,296968,270006
5.1.1  In Current Account,10653,14203,7720
5.1.2  In Other Accounts,226859,282765,262286
5.2  Money at Call and Short Notice,19488,27057,46591
5.3  Advances to Banks,38818,43389,40958
5.4  Other Assets,76510,108121,98996
6. Investment,6682673,6961120,6926908
6.1  Government Securities,6682108,6960631,6926417
6.2  Other Approved Securities,566,489,491
7. Bank Credit,18214777,21359897,21210698
7a   Food Credit,46725,70271,103915
"7.1  Loans, Cash-credits and Overdrafts",17875224,20919285,20781019
7.2  Inland Bills-Purchased,79561,110092,110502
7.3  Inland Bills-Discounted,222677,293057,284245
7.4  Foreign Bills-Purchased,14661,14793,13253
7.5  Foreign Bills-Discounted,22655,22670,21678
